age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary,out,class,cluster
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.15064748,0.0,45
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,0.6109388000000001,0.0,12
28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,0.8375241,1.0,25
36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,0.9979941999999999,1.0,44
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,0.86503047,1.0,41
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.35469878,1.0,46
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,0.2978645,0.0,28
55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,0.35592324,1.0,49
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,0.9926439,1.0,40
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,0.99925977,1.0,16
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0.1199027,1.0,17
30,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,0.9922598,1.0,11
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,0.49252979999999996,0.0,8
19,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,0.99987686,1.0,11
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,0.13901329999999998,0.0,13
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,0.99892503,1.0,16
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0.7154385999999999,0.0,39
35,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K,0.9158903,1.0,1
39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.9301529000000001,1.0,31
28,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,0.93237823,1.0,0
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0.99773526,1.0,26
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,0.84601665,1.0,43
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.24971999,1.0,17
46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,0.9058377000000001,1.0,42
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,0.17469989,0.0,8
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,0.7062559,1.0,43
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,0.5845808000000001,1.0,25
20,Private,Some-college,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,0.9992053,1.0,30
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,0.40908393,0.0,39
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.5107576,1.0,10
27,Private,Some-college,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.998116,1.0,44
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,0.9998109000000001,1.0,30
45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,0.8198979999999999,0.0,18
70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,0.84996516,1.0,30
31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,0.99939084,1.0,34
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,0.97629184,1.0,49
36,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,0.99770135,1.0,29
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.8424290999999999,1.0,10
43,?,Some-college,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K,0.98031086,1.0,23
47,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,0.99709356,1.0,6
34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.99039525,1.0,0
33,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,0.98430586,1.0,37
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,0.9982844000000001,1.0,24
52,?,HS-grad,Divorced,?,Not-in-family,White,Male,45,United-States,>50K,0.9537256,0.0,23
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,0.56659603,1.0,10
23,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.9945128000000001,1.0,4
71,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,0.98175526,1.0,11
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.94173825,1.0,22
42,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,0.9778947,1.0,11
68,?,1st-4th,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K,0.9998265,1.0,23
25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,0.99839896,1.0,26
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,0.8841700000000001,1.0,42
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,0.97163355,1.0,26
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.4515452999999999,0.0,12
36,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,0.9963168,1.0,6
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,0.8902133,1.0,4
46,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,0.9081347,1.0,15
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,0.99984515,1.0,19
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,0.98644024,1.0,7
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0.99554765,1.0,40
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0.8774898999999999,1.0,5
51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.4777535,0.0,39
27,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,0.9330835,1.0,4
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.5825596,0.0,8
27,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K,0.9986553,1.0,29
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,0.9995424999999999,1.0,11
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,0.9990568999999999,1.0,11
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,0.99988437,1.0,24
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,<=50K,0.24985218,1.0,17
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,0.50229967,0.0,48
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.98452526,1.0,9
30,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,0.98111856,1.0,11
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K,0.9782924000000001,0.0,47
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,0.45269752,0.0,39
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,0.8320091999999999,1.0,36
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0.91399384,1.0,9
53,?,Bachelors,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K,0.91220343,1.0,23
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,0.13805069,1.0,25
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,>50K,0.2586579,0.0,8
38,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K,0.9972681999999999,1.0,42
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0.90230316,1.0,49
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0.41878869999999996,1.0,36
47,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,0.3504535,1.0,49
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,<=50K,0.5071082,1.0,17
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K,0.99633527,1.0,47
36,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.94091785,1.0,31
40,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K,0.48904359999999997,0.0,18
35,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,>50K,0.70597214,0.0,45
24,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.93666095,1.0,40
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.89715576,1.0,0
19,?,HS-grad,Never-married,?,Own-child,White,Male,40,Italy,<=50K,0.99949217,1.0,38
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.12589069,0.0,14
42,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.97610575,1.0,7
37,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,0.99461126,1.0,6
18,Private,11th,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.9988722,1.0,44
36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K,0.6898226,0.0,27
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.9144941999999999,1.0,22
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K,0.40061966,0.0,13
17,Private,11th,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K,0.9997683,1.0,44
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,0.9076639000000001,1.0,36
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.75607127,0.0,28
35,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0.98212725,1.0,0
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,0.48875576,1.0,10
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,0.81214905,0.0,46
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K,0.6052334,0.0,18
50,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,0.93677014,1.0,9
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,0.6250471,1.0,17
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K,0.21048956,1.0,17
25,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.99436873,1.0,4
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.91498816,1.0,49
64,?,1st-4th,Divorced,?,Not-in-family,White,Male,40,United-States,<=50K,0.998574,1.0,23
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,0.98585075,1.0,11
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,<=50K,0.89955217,1.0,36
53,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K,0.99997723,1.0,7
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.99942964,1.0,44
60,?,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K,0.9994134,1.0,23
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,0.80404997,1.0,43
75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K,0.9997466,1.0,3
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.9828636999999999,1.0,9
