age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class,cluster
27,Felony,African-American,Male,15,-1.0,1,1,1,13
38,Misdemeanor,Caucasian,Male,4,-1.0,1,0,1,31
22,Felony,African-American,Male,1,-1.0,1,0,1,0
29,Felony,African-American,Male,4,-1.0,18,1,1,20
62,Misdemeanor,Hispanic,Male,0,0.0,-1,0,0,25
27,Felony,African-American,Male,6,0.0,30,1,1,20
33,Misdemeanor,Other,Male,0,-1.0,1,0,0,21
56,Misdemeanor,African-American,Female,0,0.0,3,0,0,7
45,Felony,Hispanic,Male,6,-1.0,241,0,1,26
22,Felony,Hispanic,Male,1,-1.0,1,0,0,6
39,Misdemeanor,African-American,Male,1,-1.0,4,0,0,22
29,Felony,African-American,Male,5,0.0,1,1,1,20
27,Felony,Caucasian,Male,1,-1.0,14,1,1,49
40,Felony,African-American,Male,2,-15.0,3,0,0,42
22,Misdemeanor,African-American,Male,1,0.0,16,0,1,22
22,Felony,Caucasian,Male,0,-1.0,57,1,0,49
26,Felony,African-American,Female,1,-1.0,2,0,1,43
32,Felony,African-American,Male,0,-1.0,1,0,0,44
41,Misdemeanor,African-American,Male,1,-1.0,1,0,0,40
30,Misdemeanor,African-American,Male,8,-1.0,1,1,1,2
50,Felony,Other,Male,0,-1.0,0,0,1,9
25,Felony,African-American,Male,14,-1.0,7,1,1,13
20,Felony,Other,Male,0,-1.0,1,1,1,36
22,Felony,African-American,Male,2,0.0,30,1,1,0
35,Misdemeanor,African-American,Female,1,-1.0,0,0,0,7
36,Felony,African-American,Male,9,0.0,3,1,1,20
26,Felony,Caucasian,Male,7,0.0,0,1,1,49
21,Felony,Other,Male,1,0.0,3,1,1,36
25,Felony,Caucasian,Male,9,-1.0,0,1,1,49
20,Felony,Caucasian,Female,0,-1.0,0,1,0,8
39,Felony,Caucasian,Male,2,-2.0,-1,0,1,1
54,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,5
44,Misdemeanor,Hispanic,Female,0,-2.0,1,0,0,15
19,Misdemeanor,African-American,Male,1,-10.0,9,0,1,22
30,Felony,African-American,Male,1,-1.0,0,0,0,0
39,Felony,Caucasian,Female,0,-1.0,1,0,1,24
24,Felony,Caucasian,Male,8,-1.0,12,1,1,49
30,Felony,Caucasian,Male,0,-1.0,5,0,0,49
31,Misdemeanor,Caucasian,Male,0,-1.0,38,1,0,3
39,Felony,Caucasian,Female,1,-1.0,106,0,0,24
43,Felony,Caucasian,Male,1,-30.0,1,0,0,33
21,Felony,African-American,Male,3,-1.0,6,1,1,0
38,Misdemeanor,Caucasian,Male,5,-1.0,2,0,1,31
34,Felony,Caucasian,Male,0,0.0,14,1,0,1
33,Felony,African-American,Male,5,0.0,0,1,1,20
37,Felony,African-American,Male,3,0.0,1,0,0,44
42,Felony,Caucasian,Male,1,0.0,0,0,1,1
41,Felony,African-American,Male,10,0.0,176,1,1,23
22,Felony,African-American,Male,0,-1.0,0,0,1,0
33,Felony,African-American,Male,28,-1.0,1,1,1,32
31,Misdemeanor,African-American,Male,1,-1.0,1,1,0,22
30,Felony,Other,Female,1,-1.0,1,0,0,12
31,Felony,Caucasian,Male,13,-1.0,471,1,1,29
27,Felony,African-American,Male,3,-1.0,0,1,1,0
52,Misdemeanor,Caucasian,Male,3,-2.0,0,1,0,17
33,Felony,African-American,Male,19,-1.0,0,1,1,13
42,Felony,Caucasian,Male,6,-4.0,-1,0,0,1
25,Felony,Caucasian,Female,2,-1.0,3,0,0,8
30,Misdemeanor,Caucasian,Male,1,-20.0,3,0,0,39
37,Misdemeanor,Other,Female,2,-1.0,1,0,0,16
28,Misdemeanor,Caucasian,Male,0,-1.0,0,0,1,3
24,Misdemeanor,African-American,Female,0,-1.0,2,0,0,7
29,Felony,Caucasian,Female,10,-1.0,7,0,1,8
44,Misdemeanor,Caucasian,Male,2,0.0,-1,0,1,31
32,Felony,African-American,Male,3,-1.0,8,1,1,44
31,Misdemeanor,Caucasian,Male,2,-16.0,15,0,1,39
31,Misdemeanor,African-American,Male,1,-1.0,1,0,1,22
59,Felony,Caucasian,Male,1,-1.0,0,0,1,30
20,Felony,African-American,Female,1,0.0,2,1,0,43
43,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,5
38,Felony,African-American,Male,9,-1.0,13,1,1,20
32,Felony,African-American,Male,11,-2.0,1,1,1,13
33,Misdemeanor,African-American,Male,8,-1.0,0,1,1,2
31,Felony,African-American,Female,0,-1.0,1,0,1,43
33,Felony,African-American,Female,7,-1.0,26,1,1,4
27,Felony,African-American,Male,2,-1.0,1,1,1,0
20,Felony,African-American,Female,0,0.0,0,1,0,43
26,Misdemeanor,Caucasian,Female,0,-2.0,0,1,0,48
61,Felony,African-American,Female,1,-1.0,0,0,1,47
52,Felony,Other,Male,13,-1.0,1,1,1,9
63,Felony,Hispanic,Male,1,-26.0,14,0,0,26
32,Felony,African-American,Female,4,-7.0,6,1,1,43
29,Felony,Hispanic,Male,1,-1.0,0,0,0,6
26,Misdemeanor,African-American,Female,2,-1.0,0,0,1,7
39,Misdemeanor,Caucasian,Male,1,-1.0,3,0,0,31
30,Felony,Caucasian,Female,3,0.0,530,1,1,8
30,Felony,African-American,Male,1,0.0,70,1,0,0
48,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0,31
22,Felony,African-American,Male,1,-1.0,0,0,0,0
46,Felony,Caucasian,Male,6,22.0,22,0,1,1
31,Felony,Caucasian,Male,0,0.0,2,1,0,49
25,Misdemeanor,African-American,Male,1,-1.0,1,0,1,22
23,Felony,Hispanic,Male,0,-1.0,0,0,0,6
32,Felony,African-American,Female,5,-1.0,1,1,0,43
52,Misdemeanor,Hispanic,Male,2,-1.0,3,0,0,25
62,Felony,African-American,Male,8,0.0,15,0,0,23
31,Felony,Hispanic,Male,8,29.0,117,1,1,6
28,Misdemeanor,African-American,Male,6,-1.0,0,1,1,2
54,Felony,Hispanic,Male,2,-1.0,188,0,0,26
58,Felony,Hispanic,Male,0,-1.0,0,0,0,26
78,Misdemeanor,Caucasian,Male,1,-1.0,0,0,1,17
56,Felony,Caucasian,Male,0,-1.0,1,0,0,30
24,Felony,Other,Male,0,-1.0,1,0,0,36
22,Felony,African-American,Male,1,0.0,0,1,1,0
47,Misdemeanor,African-American,Male,23,-1.0,0,1,1,46
23,Misdemeanor,African-American,Male,0,-1.0,1,0,1,22
57,Felony,Hispanic,Male,1,0.0,19,0,0,26
66,Felony,African-American,Male,3,-10.0,2,0,1,35
45,Misdemeanor,Caucasian,Male,8,0.0,71,0,1,31
37,Misdemeanor,African-American,Male,2,0.0,0,1,1,22
39,Felony,Caucasian,Male,0,0.0,0,0,1,1
26,Felony,African-American,Male,9,0.0,79,1,1,20
45,Felony,Caucasian,Male,2,-1.0,358,0,0,1
23,Felony,African-American,Male,0,-1.0,0,0,1,0
34,Misdemeanor,African-American,Male,2,0.0,25,0,1,22
23,Misdemeanor,African-American,Female,1,-1.0,0,0,0,7
36,Misdemeanor,Other,Male,2,-1.0,2,0,1,21
50,Felony,Caucasian,Male,1,-4.0,1,0,0,30
37,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0,48
44,Misdemeanor,Caucasian,Male,4,0.0,1,0,0,31
35,Felony,African-American,Female,23,-1.0,2,1,1,4
24,Felony,Other,Male,5,-1.0,0,1,1,36
26,Felony,African-American,Male,2,-1.0,1,1,1,0
27,Misdemeanor,African-American,Male,0,-1.0,2,0,0,22
28,Felony,African-American,Female,0,0.0,29,1,0,43
28,Felony,Caucasian,Female,7,-1.0,1,1,1,8
38,Felony,African-American,Male,2,-1.0,1,0,0,44
28,Felony,African-American,Female,1,-1.0,38,1,0,43
56,Felony,Caucasian,Male,7,-1.0,0,0,1,30
38,Felony,African-American,Male,15,-1.0,1,1,0,13
28,Misdemeanor,African-American,Male,2,-1.0,0,1,0,22
51,Misdemeanor,Caucasian,Female,0,-1.0,0,0,1,5
51,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,31
36,Misdemeanor,Other,Male,1,-1.0,1,0,1,21
48,Felony,African-American,Male,0,-1.0,1,0,0,35
37,Felony,Caucasian,Male,4,0.0,1,0,1,1
30,Felony,African-American,Female,2,-1.0,2,1,0,43
41,Misdemeanor,African-American,Female,5,0.0,0,1,0,7
27,Felony,African-American,Male,11,-1.0,223,1,1,37
37,Misdemeanor,African-American,Male,0,-1.0,1,0,1,22
33,Felony,Other,Male,4,0.0,2,0,1,36
54,Felony,African-American,Male,11,-1.0,129,1,0,23
23,Felony,African-American,Male,2,-1.0,71,1,0,0
41,Misdemeanor,African-American,Male,0,0.0,0,0,0,40
52,Felony,Caucasian,Male,0,-1.0,0,0,0,30
43,Felony,Caucasian,Male,13,0.0,51,0,1,29
52,Felony,African-American,Male,0,-1.0,13,0,0,35
28,Felony,Caucasian,Male,1,-3.0,3,0,0,49
30,Misdemeanor,African-American,Male,11,-1.0,1,1,1,2
28,Felony,Caucasian,Male,1,0.0,6,1,0,49
22,Felony,African-American,Male,0,-1.0,0,0,0,0
30,Felony,African-American,Male,4,0.0,-1,0,0,20
25,Felony,Hispanic,Male,4,0.0,1,0,0,6
31,Felony,Caucasian,Male,0,-1.0,30,1,1,49
37,Felony,Caucasian,Male,0,-1.0,35,0,1,1
32,Felony,African-American,Male,14,-1.0,1,1,0,13
53,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,17
28,Felony,African-American,Male,25,29.0,25,1,1,32
44,Misdemeanor,Caucasian,Male,8,-1.0,4,1,1,31
25,Felony,African-American,Male,0,0.0,0,0,0,0
22,Misdemeanor,Caucasian,Male,1,0.0,5,1,1,3
37,Misdemeanor,Other,Female,0,-1.0,1,0,0,16
40,Felony,Other,Female,3,-1.0,1,0,0,12
31,Misdemeanor,Hispanic,Female,0,-1.0,0,0,0,15
23,Felony,Hispanic,Male,1,-1.0,1,1,1,6
23,Felony,Caucasian,Female,5,-1.0,0,1,1,8
24,Misdemeanor,Hispanic,Male,0,-3.0,0,1,0,10
29,Misdemeanor,African-American,Male,1,-1.0,0,0,0,22
20,Felony,African-American,Male,1,-1.0,1,1,1,0
30,Felony,African-American,Male,2,-1.0,1,1,1,0
39,Felony,Other,Male,0,-1.0,0,0,0,36
27,Felony,African-American,Male,4,-1.0,0,0,0,20
37,Felony,African-American,Female,2,0.0,0,0,0,43
20,Felony,African-American,Male,0,-1.0,2,1,0,0
22,Felony,Hispanic,Male,0,0.0,2,1,0,6
52,Felony,African-American,Female,0,-1.0,0,0,0,47
23,Felony,African-American,Female,0,-1.0,3,0,1,43
48,Felony,African-American,Female,0,-1.0,1,0,0,47
25,Felony,Caucasian,Male,0,0.0,0,1,0,49
27,Felony,Caucasian,Male,0,-1.0,1,1,1,49
30,Felony,African-American,Male,11,0.0,1,1,1,13
22,Misdemeanor,African-American,Male,3,-1.0,1,1,1,22
22,Felony,Caucasian,Female,1,-1.0,0,0,0,8
41,Misdemeanor,African-American,Female,2,-1.0,0,0,0,7
25,Felony,Other,Female,0,-1.0,0,0,0,12
52,Felony,African-American,Male,3,0.0,24,1,1,35
43,Felony,African-American,Male,0,-1.0,41,0,0,44
37,Felony,Caucasian,Male,3,-4.0,2,0,0,1
70,Misdemeanor,Caucasian,Male,1,-13.0,12,0,0,17
46,Felony,Caucasian,Male,3,-1.0,14,0,0,1
21,Misdemeanor,African-American,Male,0,-1.0,1,1,1,22
26,Misdemeanor,African-American,Male,1,-1.0,1,1,1,22
38,Felony,Hispanic,Male,3,23.0,1,0,1,6
34,Misdemeanor,Caucasian,Male,5,-1.0,1,0,0,3
34,Misdemeanor,African-American,Male,5,-1.0,0,0,0,2
23,Felony,Caucasian,Male,0,0.0,0,1,1,49
34,Felony,African-American,Male,5,-1.0,2,0,1,20
39,Felony,African-American,Male,6,-1.0,2,0,1,44
24,Felony,Other,Male,0,-1.0,1,0,0,36
58,Felony,Caucasian,Male,2,-1.0,1,0,0,30
21,Misdemeanor,African-American,Female,0,0.0,0,1,0,7
23,Misdemeanor,African-American,Male,4,-11.0,11,1,1,22
62,Felony,Caucasian,Male,0,0.0,1,0,0,30
37,Felony,Caucasian,Male,5,-1.0,10,0,0,1
43,Felony,Other,Male,2,-1.0,7,0,1,9
32,Felony,African-American,Female,5,0.0,-1,0,0,43
23,Felony,Hispanic,Male,0,-1.0,45,0,0,6
27,Misdemeanor,African-American,Male,0,0.0,0,0,0,22
44,Misdemeanor,Caucasian,Male,0,-1.0,1,0,1,31
28,Misdemeanor,Caucasian,Male,3,-1.0,0,0,1,3
42,Felony,Caucasian,Female,0,-3.0,1,0,0,24
24,Felony,Other,Male,9,-1.0,4,1,1,36
27,Felony,African-American,Male,0,0.0,17,0,0,0
20,Felony,African-American,Male,0,-1.0,0,1,1,0
51,Misdemeanor,Caucasian,Female,0,0.0,1,0,0,5
56,Misdemeanor,Caucasian,Male,0,0.0,1,0,0,17
29,Felony,African-American,Male,7,-1.0,1,1,0,20
20,Felony,African-American,Male,0,-1.0,209,1,1,37
27,Felony,Caucasian,Male,8,-1.0,68,1,0,29
24,Felony,African-American,Male,2,-1.0,19,1,1,0
53,Felony,Caucasian,Male,36,-7.0,32,1,1,29
28,Misdemeanor,Caucasian,Male,2,0.0,1,0,1,3
21,Felony,Hispanic,Male,3,-22.0,22,1,1,6
36,Felony,African-American,Female,0,-1.0,12,1,0,43
25,Misdemeanor,Caucasian,Female,2,-2.0,1,0,1,48
23,Misdemeanor,Hispanic,Female,1,0.0,0,0,1,15
28,Felony,Caucasian,Male,1,-4.0,1,1,0,49
21,Felony,African-American,Female,0,-1.0,1,1,1,43
36,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,31
24,Felony,African-American,Male,0,-1.0,0,0,0,0
30,Felony,Other,Male,1,-1.0,0,0,1,36
29,Felony,African-American,Male,0,-1.0,1,0,0,0
30,Misdemeanor,Caucasian,Female,0,0.0,3,1,0,48
51,Misdemeanor,Hispanic,Male,1,-1.0,1,0,0,25
32,Felony,African-American,Male,12,-1.0,1,1,1,13
23,Felony,African-American,Male,1,0.0,1,1,0,0
47,Felony,African-American,Male,3,0.0,0,0,0,35
37,Felony,Caucasian,Male,0,-1.0,19,0,0,1
19,Felony,African-American,Male,2,-1.0,1,1,1,0
27,Misdemeanor,Hispanic,Male,0,-1.0,2,1,0,10
39,Misdemeanor,Other,Male,0,-1.0,0,0,0,21
21,Felony,Caucasian,Female,0,0.0,0,1,0,8
69,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,17
21,Felony,Caucasian,Male,2,-1.0,2,1,0,49
26,Misdemeanor,African-American,Male,6,0.0,3,1,1,2
22,Felony,Caucasian,Male,0,-2.0,0,0,0,49
23,Felony,African-American,Female,0,-1.0,0,1,1,43
49,Felony,African-American,Male,3,0.0,3,1,0,35
29,Misdemeanor,African-American,Male,2,-1.0,50,0,1,22
60,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0,5
23,Felony,African-American,Male,3,0.0,0,1,1,0
20,Felony,Other,Female,1,-21.0,2,0,0,12
36,Felony,Hispanic,Male,1,0.0,95,0,0,6
30,Felony,Caucasian,Male,0,0.0,1,0,0,49
21,Felony,African-American,Male,1,-1.0,-1,0,1,0
22,Misdemeanor,Caucasian,Male,2,-1.0,0,1,1,3
21,Felony,African-American,Male,4,-1.0,219,1,1,37
21,Felony,African-American,Male,0,-1.0,12,1,1,0
34,Misdemeanor,Caucasian,Male,1,0.0,0,0,0,3
50,Misdemeanor,Caucasian,Female,1,-1.0,0,0,1,5
40,Felony,Caucasian,Male,0,-1.0,8,1,1,1
25,Felony,African-American,Male,7,-1.0,127,1,1,20
53,Misdemeanor,Caucasian,Female,1,-1.0,0,0,0,5
24,Felony,African-American,Female,0,-1.0,1,0,0,43
42,Felony,African-American,Male,1,-12.0,4,0,0,44
28,Misdemeanor,African-American,Male,1,-1.0,1,0,0,22
26,Felony,African-American,Male,6,-1.0,1,1,1,20
22,Felony,African-American,Male,4,-1.0,260,1,1,37
21,Misdemeanor,Caucasian,Male,3,-8.0,5,1,0,3
37,Felony,African-American,Male,23,-1.0,17,1,1,32
35,Felony,African-American,Male,2,-1.0,5,1,0,44
53,Felony,African-American,Male,2,-1.0,0,0,0,35
29,Felony,African-American,Male,7,-1.0,1,0,1,20
48,Felony,Caucasian,Male,23,-1.0,360,1,1,29
52,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,5
27,Felony,African-American,Male,12,-1.0,31,1,1,13
28,Felony,African-American,Male,5,0.0,51,1,1,20
33,Misdemeanor,Caucasian,Male,3,0.0,0,0,0,3
28,Felony,Hispanic,Female,0,-1.0,2,0,0,14
36,Felony,African-American,Male,14,-1.0,0,1,1,13
29,Felony,African-American,Male,2,-1.0,1,1,0,0
22,Misdemeanor,African-American,Male,0,0.0,21,1,1,22
25,Felony,Caucasian,Male,0,0.0,0,0,0,49
56,Felony,African-American,Male,5,-1.0,12,0,0,35
27,Felony,African-American,Male,9,-1.0,52,1,1,20
52,Felony,Caucasian,Male,4,-1.0,7,0,1,30
32,Felony,African-American,Male,3,0.0,1,0,0,44
60,Felony,Other,Male,4,-1.0,1,0,0,9
23,Misdemeanor,Hispanic,Male,1,-5.0,5,0,0,10
39,Misdemeanor,Caucasian,Female,0,-2.0,0,1,0,48
56,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,17
22,Felony,African-American,Female,0,0.0,0,1,0,43
53,Felony,African-American,Male,11,-1.0,110,1,0,23
25,Misdemeanor,Caucasian,Male,0,0.0,0,0,1,3
21,Misdemeanor,Hispanic,Male,0,0.0,0,0,0,10
22,Felony,Caucasian,Male,0,-1.0,1,0,0,49
58,Misdemeanor,Caucasian,Female,2,-23.0,1,0,0,38
31,Misdemeanor,African-American,Male,7,0.0,1,0,1,2
22,Felony,Caucasian,Male,1,-1.0,0,1,1,49
28,Felony,African-American,Male,8,-1.0,3,1,1,20
42,Felony,Other,Male,1,-1.0,2,0,0,9
20,Felony,African-American,Male,0,0.0,0,1,1,0
29,Misdemeanor,Caucasian,Male,0,0.0,5,1,1,3
58,Misdemeanor,African-American,Male,21,-1.0,59,1,1,46
22,Felony,African-American,Male,3,-1.0,106,1,0,0
48,Misdemeanor,Hispanic,Male,1,0.0,0,0,1,25
37,Felony,Caucasian,Male,0,0.0,0,0,0,1
57,Felony,African-American,Male,1,-1.0,25,1,1,35
27,Misdemeanor,Caucasian,Male,3,-22.0,-1,0,0,39
26,Felony,African-American,Male,3,0.0,33,0,0,0
24,Felony,Caucasian,Male,3,0.0,0,1,1,49
33,Felony,Caucasian,Male,0,-1.0,1,0,0,1
29,Felony,African-American,Male,2,-1.0,0,1,0,0
24,Felony,African-American,Female,3,-1.0,1,1,1,43
19,Felony,Caucasian,Male,1,-1.0,32,1,1,49
36,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0,31
24,Felony,Caucasian,Female,0,0.0,0,1,0,8
34,Misdemeanor,Caucasian,Male,0,0.0,0,0,0,3
25,Felony,Hispanic,Male,2,-1.0,0,1,1,6
20,Felony,African-American,Male,1,-1.0,1,1,1,0
24,Misdemeanor,African-American,Male,1,-1.0,1,0,1,22
61,Felony,Caucasian,Male,4,-1.0,1,0,0,30
50,Felony,African-American,Female,3,0.0,-1,0,0,47
30,Misdemeanor,African-American,Male,1,0.0,4,0,0,22
38,Felony,African-American,Male,5,-1.0,1,0,0,44
24,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,3
46,Felony,African-American,Female,2,-1.0,9,1,1,47
41,Misdemeanor,Caucasian,Male,0,-1.0,3,0,1,31
20,Felony,Other,Male,0,-1.0,22,1,1,36
27,Misdemeanor,African-American,Male,13,-1.0,1,1,1,2
26,Misdemeanor,African-American,Male,1,-1.0,13,1,1,22
29,Felony,African-American,Male,3,0.0,1,1,1,0
52,Felony,Caucasian,Male,6,-1.0,1,1,1,30
28,Felony,Caucasian,Male,1,0.0,4,0,1,49
55,Felony,African-American,Male,5,-1.0,118,0,1,35
26,Felony,African-American,Male,10,-1.0,0,1,1,20
28,Felony,African-American,Male,5,-1.0,1,1,0,20
63,Felony,Caucasian,Male,2,-3.0,3,0,0,30
42,Felony,African-American,Male,0,0.0,1,0,0,44
23,Felony,African-American,Male,6,-1.0,0,1,1,20
54,Felony,African-American,Male,28,-1.0,5,1,1,32
35,Felony,African-American,Male,8,-1.0,10,1,1,20
24,Felony,African-American,Female,6,-1.0,26,1,1,43
54,Misdemeanor,African-American,Male,2,-26.0,0,0,0,40
58,Misdemeanor,African-American,Male,12,-1.0,3,1,1,46
23,Misdemeanor,Caucasian,Male,1,0.0,0,1,1,3
35,Misdemeanor,African-American,Male,1,-1.0,0,0,0,22
20,Felony,African-American,Male,1,0.0,2,1,1,0
51,Felony,Caucasian,Male,0,0.0,35,0,0,30
24,Felony,Hispanic,Male,0,0.0,1,1,0,6
37,Felony,Caucasian,Male,3,-14.0,6,0,0,45
47,Felony,Caucasian,Male,3,-1.0,0,0,0,30
34,Felony,Caucasian,Male,4,-1.0,1,1,1,1
56,Felony,Caucasian,Male,0,-2.0,0,0,0,30
34,Felony,Hispanic,Male,4,-1.0,31,0,1,6
59,Felony,Caucasian,Male,1,-2.0,0,0,1,30
35,Felony,Asian,Male,0,-1.0,101,1,0,19
58,Felony,Hispanic,Male,1,-11.0,10,0,0,26
29,Misdemeanor,Hispanic,Male,2,-26.0,0,0,0,10
24,Felony,Caucasian,Female,6,0.0,3,1,1,8
21,Misdemeanor,Caucasian,Male,2,-1.0,8,1,1,3
50,Felony,Asian,Male,5,0.0,11,1,1,19
26,Felony,African-American,Male,1,-1.0,1,0,0,0
30,Misdemeanor,Caucasian,Female,0,-1.0,1,0,0,48
29,Misdemeanor,Caucasian,Male,0,0.0,1,0,1,3
54,Misdemeanor,African-American,Male,0,-1.0,1,0,0,40
29,Felony,African-American,Male,4,-1.0,8,0,1,20
59,Misdemeanor,Caucasian,Female,0,-2.0,0,0,0,5
38,Felony,African-American,Male,0,0.0,1,1,0,44
27,Misdemeanor,Caucasian,Male,1,-1.0,1,0,1,3
26,Felony,Hispanic,Male,7,-1.0,1,1,1,6
52,Felony,Hispanic,Male,20,-1.0,27,0,0,26
66,Felony,African-American,Male,33,0.0,13,1,1,32
27,Felony,Caucasian,Male,2,0.0,0,1,0,49
51,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,31
35,Felony,Caucasian,Male,1,0.0,74,0,0,1
52,Misdemeanor,Caucasian,Male,4,-1.0,0,0,0,17
48,Felony,Other,Male,12,0.0,1,1,0,9
26,Misdemeanor,African-American,Female,0,-1.0,1,0,0,7
48,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,5
30,Misdemeanor,Hispanic,Male,7,-1.0,37,0,0,10
28,Misdemeanor,Other,Male,2,-1.0,1,0,0,21
33,Misdemeanor,African-American,Male,2,0.0,0,0,0,22
34,Felony,African-American,Female,6,-1.0,52,0,0,4
25,Misdemeanor,Other,Male,0,0.0,-1,0,0,21
59,Felony,African-American,Male,10,-1.0,127,1,1,23
29,Felony,African-American,Male,5,-1.0,2,1,1,20
24,Felony,Caucasian,Male,0,0.0,1,0,0,49
48,Felony,Caucasian,Male,1,-1.0,129,1,1,30
52,Misdemeanor,African-American,Male,4,0.0,1,1,0,40
20,Felony,African-American,Male,0,0.0,0,0,1,0
25,Felony,Caucasian,Male,4,-5.0,5,0,1,49
24,Felony,Caucasian,Male,0,-1.0,15,0,0,49
23,Misdemeanor,Caucasian,Male,0,-1.0,1,1,0,3
27,Felony,Caucasian,Male,6,-1.0,1,0,1,49
25,Misdemeanor,African-American,Male,1,-1.0,0,0,1,22
31,Felony,African-American,Male,0,-1.0,0,0,0,44
25,Felony,African-American,Male,6,-1.0,4,0,1,20
32,Felony,Caucasian,Male,1,-7.0,0,0,1,49
21,Felony,Caucasian,Male,0,-1.0,-1,0,1,49
37,Felony,Other,Male,1,-1.0,5,0,0,36
25,Felony,Caucasian,Male,0,0.0,0,0,0,49
32,Felony,Hispanic,Male,20,0.0,0,1,0,6
35,Felony,African-American,Male,0,-1.0,2,1,0,44
42,Felony,African-American,Male,14,-1.0,1,1,1,13
24,Misdemeanor,Caucasian,Male,9,-23.0,10,1,1,39
21,Felony,Hispanic,Male,0,-1.0,0,1,1,6
47,Misdemeanor,Caucasian,Male,1,0.0,0,0,0,31
27,Felony,African-American,Male,5,-1.0,1,1,1,20
43,Misdemeanor,Hispanic,Male,2,-12.0,4,0,1,25
46,Felony,Caucasian,Male,2,-1.0,0,1,1,1
44,Misdemeanor,African-American,Male,1,0.0,0,0,0,40
