age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary,out,class
31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,0.967208,1.0
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.4154021,1.0
24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,0.4304386,1.0
49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,0.99438804,1.0
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,0.9986953,1.0
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,0.34726915,0.0
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,0.6975046,1.0
44,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0.7571916,1.0
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.6828717,1.0
29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,0.87607193,1.0
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,0.5640971,1.0
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,30,?,<=50K,0.9996617,1.0
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,0.056312747,0.0
50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,0.59444636,0.0
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,0.78818583,1.0
43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.4336999,0.0
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,0.9690103,1.0
35,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,0.88771844,1.0
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,0.64845216,1.0
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0.82911986,1.0
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,0.39309543,1.0
32,?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,40,?,<=50K,0.99731797,1.0
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.6796954,1.0
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.13714333,0.0
29,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,0.90059185,1.0
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.76973283,1.0
28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.99222517,1.0
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,0.47451666,0.0
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.26625097,0.0
25,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,<=50K,0.9994979,1.0
19,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,0.99683565,1.0
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,0.9951139,1.0
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,0.37862766,0.0
23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,0.9939714,1.0
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,0.7826031,1.0
27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,0.9996543,1.0
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0.61872315,1.0
67,?,10th,Married-civ-spouse,?,Husband,White,Male,2,United-States,<=50K,0.98376036,1.0
18,Private,11th,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,0.99973947,1.0
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0.9885223,1.0
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,0.9963839,1.0
52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,0.6568912,1.0
46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,0.77401847,1.0
59,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,0.5208653,1.0
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,0.9610397,0.0
53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,0.974077,1.0
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.47177368,0.0
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,0.25688076,1.0
30,Private,9th,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.95806354,1.0
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,0.31902286,0.0
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.31488666,1.0
37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,0.9821098,1.0
28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,0.99971515,1.0
30,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,<=50K,0.96429163,1.0
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.3023081,0.0
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,0.9858096,1.0
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.21987632,0.0
37,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,0.5218716,0.0
48,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,0.8738066,1.0
32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,0.9997111,1.0
76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.14414862,0.0
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.109377176,0.0
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,0.7797702,1.0
20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,0.99857354,1.0
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.9866894,1.0
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.69454896,0.0
17,?,10th,Never-married,?,Own-child,White,Female,32,United-States,<=50K,0.99995065,1.0
30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0.99858725,1.0
31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.989838,1.0
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.80549353,1.0
24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,0.9924465,1.0
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.15064748,0.0
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,0.6109388,0.0
28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,0.8375241,1.0
36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,0.9979942,1.0
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,0.86503047,1.0
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.35469878,1.0
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,0.2978645,0.0
55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,0.35592324,1.0
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,0.9926439,1.0
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,0.99925977,1.0
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0.1199027,1.0
30,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,0.9922598,1.0
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,0.4925298,0.0
19,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,0.99987686,1.0
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,0.1390133,0.0
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,0.99892503,1.0
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0.7154386,0.0
35,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K,0.9158903,1.0
39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.9301529,1.0
28,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,0.93237823,1.0
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0.99773526,1.0
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,0.84601665,1.0
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.24971999,1.0
46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,0.9058377,1.0
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,0.17469989,0.0
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,0.7062559,1.0
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,0.5845808,1.0
20,Private,Some-college,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,0.9992053,1.0
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,0.40908393,0.0
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.5107576,1.0
27,Private,Some-college,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.998116,1.0
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,0.9998109,1.0
45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,0.819898,0.0
70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,0.84996516,1.0
31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,0.99939084,1.0
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,0.97629184,1.0
36,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,0.99770135,1.0
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.8424291,1.0
43,?,Some-college,Divorced,?,Not-in-family,White,Female,40,United-States,<=50K,0.98031086,1.0
47,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,0.99709356,1.0
34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.99039525,1.0
33,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,0.98430586,1.0
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,0.9982844,1.0
52,?,HS-grad,Divorced,?,Not-in-family,White,Male,45,United-States,>50K,0.9537256,0.0
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,0.56659603,1.0
23,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.9945128,1.0
71,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,0.98175526,1.0
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.94173825,1.0
42,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,0.9778947,1.0
68,?,1st-4th,Divorced,?,Not-in-family,White,Female,20,United-States,<=50K,0.9998265,1.0
25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,0.99839896,1.0
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,0.88417,1.0
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,0.97163355,1.0
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.4515453,0.0
36,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,0.9963168,1.0
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,0.8902133,1.0
46,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,0.9081347,1.0
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,0.99984515,1.0
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,0.98644024,1.0
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0.99554765,1.0
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0.8774899,1.0
51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.4777535,0.0
27,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,0.9330835,1.0
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.5825596,0.0
27,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K,0.9986553,1.0
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,0.9995425,1.0
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,0.9990569,1.0
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,0.99988437,1.0
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,<=50K,0.24985218,1.0
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,0.50229967,0.0
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.98452526,1.0
30,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,0.98111856,1.0
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K,0.9782924,0.0
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,0.45269752,0.0
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,0.8320092,1.0
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0.91399384,1.0
53,?,Bachelors,Divorced,?,Not-in-family,White,Female,50,United-States,<=50K,0.91220343,1.0
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,0.13805069,1.0
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,>50K,0.2586579,0.0
38,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K,0.9972682,1.0
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0.90230316,1.0
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0.4187887,1.0
47,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,0.3504535,1.0
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,<=50K,0.5071082,1.0
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K,0.99633527,1.0
36,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.94091785,1.0
40,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K,0.4890436,0.0
35,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,>50K,0.70597214,0.0
24,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.93666095,1.0
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.89715576,1.0
19,?,HS-grad,Never-married,?,Own-child,White,Male,40,Italy,<=50K,0.99949217,1.0
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.12589069,0.0
42,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.97610575,1.0
37,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,0.99461126,1.0
18,Private,11th,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.9988722,1.0
36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K,0.6898226,0.0
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.9144942,1.0
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K,0.40061966,0.0
17,Private,11th,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K,0.9997683,1.0
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,0.9076639,1.0
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.75607127,0.0
35,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0.98212725,1.0
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,0.48875576,1.0
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,0.81214905,0.0
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K,0.6052334,0.0
50,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,0.93677014,1.0
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,0.6250471,1.0
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K,0.21048956,1.0
25,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.99436873,1.0
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.91498816,1.0
64,?,1st-4th,Divorced,?,Not-in-family,White,Male,40,United-States,<=50K,0.998574,1.0
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,0.98585075,1.0
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,<=50K,0.89955217,1.0
53,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K,0.99997723,1.0
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.99942964,1.0
60,?,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K,0.9994134,1.0
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,0.80404997,1.0
75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K,0.9997466,1.0
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.9828637,1.0
35,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K,0.9851751,1.0
41,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K,0.9965868,1.0
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K,0.98094076,1.0
33,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K,0.95561516,1.0
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,>50K,0.6014137,0.0
59,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0.8800599,1.0
40,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,0.9866067,1.0
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,>50K,0.19046699,0.0
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,0.105374135,0.0
23,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,0.9988122,1.0
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.30476207,0.0
