age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class,cluster
30,Felony,African-American,Male,1,0.0,70,0,0,13
48,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0,4
22,Felony,African-American,Male,1,-1.0,0,0,0,13
46,Felony,Caucasian,Male,6,22.0,22,0,1,2
31,Felony,Caucasian,Male,0,0.0,2,0,0,15
25,Misdemeanor,African-American,Male,1,-1.0,1,0,1,3
23,Felony,Hispanic,Male,0,-1.0,0,0,0,5
32,Felony,African-American,Female,5,-1.0,1,0,0,7
52,Misdemeanor,Hispanic,Male,2,-1.0,3,0,0,9
62,Felony,African-American,Male,8,0.0,15,0,0,19
31,Felony,Hispanic,Male,8,29.0,117,1,1,5
28,Misdemeanor,African-American,Male,6,-1.0,0,0,1,3
54,Felony,Hispanic,Male,2,-1.0,188,0,0,5
58,Felony,Hispanic,Male,0,-1.0,0,0,0,5
78,Misdemeanor,Caucasian,Male,1,-1.0,0,0,1,4
56,Felony,Caucasian,Male,0,-1.0,1,0,0,2
24,Felony,Other,Male,0,-1.0,1,0,0,10
22,Felony,African-American,Male,1,0.0,0,0,1,13
47,Misdemeanor,African-American,Male,23,-1.0,0,1,1,3
23,Misdemeanor,African-American,Male,0,-1.0,1,0,1,3
57,Felony,Hispanic,Male,1,0.0,19,0,0,5
66,Felony,African-American,Male,3,-10.0,2,0,1,19
45,Misdemeanor,Caucasian,Male,8,0.0,71,0,1,4
37,Misdemeanor,African-American,Male,2,0.0,0,1,1,3
39,Felony,Caucasian,Male,0,0.0,0,0,1,15
26,Felony,African-American,Male,9,0.0,79,1,1,13
45,Felony,Caucasian,Male,2,-1.0,358,0,0,2
23,Felony,African-American,Male,0,-1.0,0,0,1,13
34,Misdemeanor,African-American,Male,2,0.0,25,0,1,3
23,Misdemeanor,African-American,Female,1,-1.0,0,0,0,8
36,Misdemeanor,Other,Male,2,-1.0,2,0,1,12
50,Felony,Caucasian,Male,1,-4.0,1,0,0,2
37,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0,6
44,Misdemeanor,Caucasian,Male,4,0.0,1,0,0,4
35,Felony,African-American,Female,23,-1.0,2,1,1,7
24,Felony,Other,Male,5,-1.0,0,0,1,10
26,Felony,African-American,Male,2,-1.0,1,1,1,13
27,Misdemeanor,African-American,Male,0,-1.0,2,0,0,3
28,Felony,African-American,Female,0,0.0,29,1,0,7
28,Felony,Caucasian,Female,7,-1.0,1,1,1,0
38,Felony,African-American,Male,2,-1.0,1,0,0,19
28,Felony,African-American,Female,1,-1.0,38,1,0,7
56,Felony,Caucasian,Male,7,-1.0,0,0,1,2
38,Felony,African-American,Male,15,-1.0,1,1,0,1
28,Misdemeanor,African-American,Male,2,-1.0,0,0,0,3
51,Misdemeanor,Caucasian,Female,0,-1.0,0,0,1,6
51,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,4
36,Misdemeanor,Other,Male,1,-1.0,1,0,1,12
48,Felony,African-American,Male,0,-1.0,1,0,0,19
37,Felony,Caucasian,Male,4,0.0,1,0,1,15
30,Felony,African-American,Female,2,-1.0,2,0,0,7
41,Misdemeanor,African-American,Female,5,0.0,0,0,0,8
27,Felony,African-American,Male,11,-1.0,223,1,1,1
37,Misdemeanor,African-American,Male,0,-1.0,1,0,1,3
33,Felony,Other,Male,4,0.0,2,0,1,10
54,Felony,African-American,Male,11,-1.0,129,1,0,19
23,Felony,African-American,Male,2,-1.0,71,1,0,13
41,Misdemeanor,African-American,Male,0,0.0,0,0,0,3
52,Felony,Caucasian,Male,0,-1.0,0,0,0,2
43,Felony,Caucasian,Male,13,0.0,51,0,1,2
52,Felony,African-American,Male,0,-1.0,13,0,0,19
28,Felony,Caucasian,Male,1,-3.0,3,0,0,15
30,Misdemeanor,African-American,Male,11,-1.0,1,1,1,3
28,Felony,Caucasian,Male,1,0.0,6,0,0,15
22,Felony,African-American,Male,0,-1.0,0,0,0,13
30,Felony,African-American,Male,4,0.0,-1,0,0,13
25,Felony,Hispanic,Male,4,0.0,1,0,0,5
31,Felony,Caucasian,Male,0,-1.0,30,1,1,15
37,Felony,Caucasian,Male,0,-1.0,35,0,1,15
32,Felony,African-American,Male,14,-1.0,1,1,0,1
53,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,4
28,Felony,African-American,Male,25,29.0,25,1,1,1
44,Misdemeanor,Caucasian,Male,8,-1.0,4,0,1,4
25,Felony,African-American,Male,0,0.0,0,0,0,13
22,Misdemeanor,Caucasian,Male,1,0.0,5,1,1,4
37,Misdemeanor,Other,Female,0,-1.0,1,0,0,17
40,Felony,Other,Female,3,-1.0,1,0,0,18
31,Misdemeanor,Hispanic,Female,0,-1.0,0,0,0,16
23,Felony,Hispanic,Male,1,-1.0,1,0,1,5
23,Felony,Caucasian,Female,5,-1.0,0,0,1,0
24,Misdemeanor,Hispanic,Male,0,-3.0,0,1,0,9
29,Misdemeanor,African-American,Male,1,-1.0,0,0,0,3
20,Felony,African-American,Male,1,-1.0,1,1,1,13
30,Felony,African-American,Male,2,-1.0,1,0,1,13
39,Felony,Other,Male,0,-1.0,0,0,0,10
27,Felony,African-American,Male,4,-1.0,0,0,0,13
37,Felony,African-American,Female,2,0.0,0,0,0,7
20,Felony,African-American,Male,0,-1.0,2,1,0,13
22,Felony,Hispanic,Male,0,0.0,2,0,0,5
52,Felony,African-American,Female,0,-1.0,0,0,0,7
23,Felony,African-American,Female,0,-1.0,3,0,1,7
48,Felony,African-American,Female,0,-1.0,1,0,0,7
25,Felony,Caucasian,Male,0,0.0,0,0,0,15
27,Felony,Caucasian,Male,0,-1.0,1,0,1,15
30,Felony,African-American,Male,11,0.0,1,0,1,1
22,Misdemeanor,African-American,Male,3,-1.0,1,1,1,3
22,Felony,Caucasian,Female,1,-1.0,0,0,0,0
41,Misdemeanor,African-American,Female,2,-1.0,0,0,0,8
25,Felony,Other,Female,0,-1.0,0,0,0,18
52,Felony,African-American,Male,3,0.0,24,0,1,19
43,Felony,African-American,Male,0,-1.0,41,0,0,19
37,Felony,Caucasian,Male,3,-4.0,2,0,0,15
70,Misdemeanor,Caucasian,Male,1,-13.0,12,0,0,4
46,Felony,Caucasian,Male,3,-1.0,14,0,0,2
21,Misdemeanor,African-American,Male,0,-1.0,1,1,1,3
26,Misdemeanor,African-American,Male,1,-1.0,1,1,1,3
38,Felony,Hispanic,Male,3,23.0,1,0,1,5
34,Misdemeanor,Caucasian,Male,5,-1.0,1,0,0,4
34,Misdemeanor,African-American,Male,5,-1.0,0,0,0,3
23,Felony,Caucasian,Male,0,0.0,0,0,1,15
34,Felony,African-American,Male,5,-1.0,2,0,1,13
39,Felony,African-American,Male,6,-1.0,2,0,1,19
24,Felony,Other,Male,0,-1.0,1,0,0,10
58,Felony,Caucasian,Male,2,-1.0,1,0,0,2
21,Misdemeanor,African-American,Female,0,0.0,0,0,0,8
23,Misdemeanor,African-American,Male,4,-11.0,11,1,1,3
62,Felony,Caucasian,Male,0,0.0,1,0,0,2
37,Felony,Caucasian,Male,5,-1.0,10,0,0,15
43,Felony,Other,Male,2,-1.0,7,0,1,10
32,Felony,African-American,Female,5,0.0,-1,0,0,7
23,Felony,Hispanic,Male,0,-1.0,45,0,0,5
27,Misdemeanor,African-American,Male,0,0.0,0,0,0,3
44,Misdemeanor,Caucasian,Male,0,-1.0,1,0,1,4
28,Misdemeanor,Caucasian,Male,3,-1.0,0,0,1,4
42,Felony,Caucasian,Female,0,-3.0,1,0,0,0
24,Felony,Other,Male,9,-1.0,4,1,1,10
27,Felony,African-American,Male,0,0.0,17,0,0,13
20,Felony,African-American,Male,0,-1.0,0,1,1,13
51,Misdemeanor,Caucasian,Female,0,0.0,1,0,0,6
56,Misdemeanor,Caucasian,Male,0,0.0,1,0,0,4
29,Felony,African-American,Male,7,-1.0,1,1,0,13
20,Felony,African-American,Male,0,-1.0,209,1,1,13
27,Felony,Caucasian,Male,8,-1.0,68,0,0,15
24,Felony,African-American,Male,2,-1.0,19,1,1,13
53,Felony,Caucasian,Male,36,-7.0,32,0,1,2
28,Misdemeanor,Caucasian,Male,2,0.0,1,0,1,4
21,Felony,Hispanic,Male,3,-22.0,22,0,1,5
36,Felony,African-American,Female,0,-1.0,12,0,0,7
25,Misdemeanor,Caucasian,Female,2,-2.0,1,0,1,6
23,Misdemeanor,Hispanic,Female,1,0.0,0,0,1,16
28,Felony,Caucasian,Male,1,-4.0,1,0,0,15
21,Felony,African-American,Female,0,-1.0,1,1,1,7
36,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,4
24,Felony,African-American,Male,0,-1.0,0,0,0,13
30,Felony,Other,Male,1,-1.0,0,0,1,10
29,Felony,African-American,Male,0,-1.0,1,0,0,13
30,Misdemeanor,Caucasian,Female,0,0.0,3,0,0,6
51,Misdemeanor,Hispanic,Male,1,-1.0,1,0,0,9
32,Felony,African-American,Male,12,-1.0,1,1,1,1
23,Felony,African-American,Male,1,0.0,1,0,0,13
47,Felony,African-American,Male,3,0.0,0,0,0,19
37,Felony,Caucasian,Male,0,-1.0,19,0,0,15
19,Felony,African-American,Male,2,-1.0,1,1,1,13
27,Misdemeanor,Hispanic,Male,0,-1.0,2,1,0,9
39,Misdemeanor,Other,Male,0,-1.0,0,0,0,12
21,Felony,Caucasian,Female,0,0.0,0,0,0,0
69,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,4
21,Felony,Caucasian,Male,2,-1.0,2,0,0,15
26,Misdemeanor,African-American,Male,6,0.0,3,1,1,3
22,Felony,Caucasian,Male,0,-2.0,0,0,0,15
23,Felony,African-American,Female,0,-1.0,0,0,1,7
49,Felony,African-American,Male,3,0.0,3,0,0,19
29,Misdemeanor,African-American,Male,2,-1.0,50,0,1,3
60,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0,6
23,Felony,African-American,Male,3,0.0,0,1,1,13
20,Felony,Other,Female,1,-21.0,2,0,0,18
36,Felony,Hispanic,Male,1,0.0,95,0,0,5
30,Felony,Caucasian,Male,0,0.0,1,0,0,15
21,Felony,African-American,Male,1,-1.0,-1,0,1,13
22,Misdemeanor,Caucasian,Male,2,-1.0,0,0,1,4
21,Felony,African-American,Male,4,-1.0,219,1,1,13
21,Felony,African-American,Male,0,-1.0,12,0,1,13
34,Misdemeanor,Caucasian,Male,1,0.0,0,0,0,4
50,Misdemeanor,Caucasian,Female,1,-1.0,0,0,1,6
40,Felony,Caucasian,Male,0,-1.0,8,0,1,2
25,Felony,African-American,Male,7,-1.0,127,1,1,13
53,Misdemeanor,Caucasian,Female,1,-1.0,0,0,0,6
24,Felony,African-American,Female,0,-1.0,1,0,0,7
42,Felony,African-American,Male,1,-12.0,4,0,0,19
28,Misdemeanor,African-American,Male,1,-1.0,1,0,0,3
26,Felony,African-American,Male,6,-1.0,1,1,1,13
22,Felony,African-American,Male,4,-1.0,260,1,1,13
21,Misdemeanor,Caucasian,Male,3,-8.0,5,0,0,4
37,Felony,African-American,Male,23,-1.0,17,1,1,1
35,Felony,African-American,Male,2,-1.0,5,0,0,13
53,Felony,African-American,Male,2,-1.0,0,0,0,19
29,Felony,African-American,Male,7,-1.0,1,0,1,13
48,Felony,Caucasian,Male,23,-1.0,360,1,1,2
52,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,6
27,Felony,African-American,Male,12,-1.0,31,1,1,1
28,Felony,African-American,Male,5,0.0,51,1,1,13
33,Misdemeanor,Caucasian,Male,3,0.0,0,0,0,4
28,Felony,Hispanic,Female,0,-1.0,2,0,0,14
36,Felony,African-American,Male,14,-1.0,0,0,1,1
29,Felony,African-American,Male,2,-1.0,1,0,0,13
22,Misdemeanor,African-American,Male,0,0.0,21,1,1,3
25,Felony,Caucasian,Male,0,0.0,0,0,0,15
56,Felony,African-American,Male,5,-1.0,12,0,0,19
27,Felony,African-American,Male,9,-1.0,52,1,1,13
52,Felony,Caucasian,Male,4,-1.0,7,0,1,2
32,Felony,African-American,Male,3,0.0,1,0,0,13
60,Felony,Other,Male,4,-1.0,1,0,0,10
23,Misdemeanor,Hispanic,Male,1,-5.0,5,0,0,9
39,Misdemeanor,Caucasian,Female,0,-2.0,0,0,0,6
56,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,4
22,Felony,African-American,Female,0,0.0,0,0,0,7
53,Felony,African-American,Male,11,-1.0,110,0,0,19
25,Misdemeanor,Caucasian,Male,0,0.0,0,0,1,4
21,Misdemeanor,Hispanic,Male,0,0.0,0,0,0,9
22,Felony,Caucasian,Male,0,-1.0,1,0,0,15
58,Misdemeanor,Caucasian,Female,2,-23.0,1,0,0,6
31,Misdemeanor,African-American,Male,7,0.0,1,0,1,3
22,Felony,Caucasian,Male,1,-1.0,0,0,1,15
28,Felony,African-American,Male,8,-1.0,3,0,1,13
42,Felony,Other,Male,1,-1.0,2,0,0,10
20,Felony,African-American,Male,0,0.0,0,0,1,13
29,Misdemeanor,Caucasian,Male,0,0.0,5,0,1,4
58,Misdemeanor,African-American,Male,21,-1.0,59,0,1,3
22,Felony,African-American,Male,3,-1.0,106,0,0,13
48,Misdemeanor,Hispanic,Male,1,0.0,0,0,1,9
37,Felony,Caucasian,Male,0,0.0,0,0,0,15
57,Felony,African-American,Male,1,-1.0,25,0,1,19
27,Misdemeanor,Caucasian,Male,3,-22.0,-1,0,0,4
26,Felony,African-American,Male,3,0.0,33,0,0,13
24,Felony,Caucasian,Male,3,0.0,0,1,1,15
33,Felony,Caucasian,Male,0,-1.0,1,0,0,15
29,Felony,African-American,Male,2,-1.0,0,0,0,13
24,Felony,African-American,Female,3,-1.0,1,1,1,7
19,Felony,Caucasian,Male,1,-1.0,32,1,1,15
36,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0,4
24,Felony,Caucasian,Female,0,0.0,0,0,0,0
34,Misdemeanor,Caucasian,Male,0,0.0,0,0,0,4
25,Felony,Hispanic,Male,2,-1.0,0,0,1,5
20,Felony,African-American,Male,1,-1.0,1,1,1,13
24,Misdemeanor,African-American,Male,1,-1.0,1,0,1,3
61,Felony,Caucasian,Male,4,-1.0,1,0,0,2
50,Felony,African-American,Female,3,0.0,-1,0,0,7
30,Misdemeanor,African-American,Male,1,0.0,4,0,0,3
38,Felony,African-American,Male,5,-1.0,1,0,0,19
24,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0,4
46,Felony,African-American,Female,2,-1.0,9,1,1,7
41,Misdemeanor,Caucasian,Male,0,-1.0,3,0,1,4
20,Felony,Other,Male,0,-1.0,22,1,1,10
27,Misdemeanor,African-American,Male,13,-1.0,1,1,1,3
26,Misdemeanor,African-American,Male,1,-1.0,13,0,1,3
29,Felony,African-American,Male,3,0.0,1,0,1,13
52,Felony,Caucasian,Male,6,-1.0,1,0,1,2
28,Felony,Caucasian,Male,1,0.0,4,0,1,15
55,Felony,African-American,Male,5,-1.0,118,0,1,19
26,Felony,African-American,Male,10,-1.0,0,1,1,13
28,Felony,African-American,Male,5,-1.0,1,1,0,13
63,Felony,Caucasian,Male,2,-3.0,3,0,0,2
42,Felony,African-American,Male,0,0.0,1,0,0,19
23,Felony,African-American,Male,6,-1.0,0,0,1,13
54,Felony,African-American,Male,28,-1.0,5,1,1,1
35,Felony,African-American,Male,8,-1.0,10,0,1,13
24,Felony,African-American,Female,6,-1.0,26,1,1,7
54,Misdemeanor,African-American,Male,2,-26.0,0,0,0,3
58,Misdemeanor,African-American,Male,12,-1.0,3,0,1,3
23,Misdemeanor,Caucasian,Male,1,0.0,0,0,1,4
35,Misdemeanor,African-American,Male,1,-1.0,0,0,0,3
20,Felony,African-American,Male,1,0.0,2,1,1,13
51,Felony,Caucasian,Male,0,0.0,35,0,0,2
24,Felony,Hispanic,Male,0,0.0,1,1,0,5
37,Felony,Caucasian,Male,3,-14.0,6,0,0,15
47,Felony,Caucasian,Male,3,-1.0,0,0,0,2
34,Felony,Caucasian,Male,4,-1.0,1,0,1,15
56,Felony,Caucasian,Male,0,-2.0,0,0,0,2
34,Felony,Hispanic,Male,4,-1.0,31,0,1,5
59,Felony,Caucasian,Male,1,-2.0,0,0,1,2
35,Felony,Asian,Male,0,-1.0,101,0,0,11
58,Felony,Hispanic,Male,1,-11.0,10,0,0,5
29,Misdemeanor,Hispanic,Male,2,-26.0,0,0,0,9
24,Felony,Caucasian,Female,6,0.0,3,1,1,0
21,Misdemeanor,Caucasian,Male,2,-1.0,8,1,1,4
50,Felony,Asian,Male,5,0.0,11,0,1,11
26,Felony,African-American,Male,1,-1.0,1,0,0,13
30,Misdemeanor,Caucasian,Female,0,-1.0,1,0,0,6
29,Misdemeanor,Caucasian,Male,0,0.0,1,0,1,4
54,Misdemeanor,African-American,Male,0,-1.0,1,0,0,3
29,Felony,African-American,Male,4,-1.0,8,0,1,13
59,Misdemeanor,Caucasian,Female,0,-2.0,0,0,0,6
38,Felony,African-American,Male,0,0.0,1,0,0,19
27,Misdemeanor,Caucasian,Male,1,-1.0,1,0,1,4
26,Felony,Hispanic,Male,7,-1.0,1,0,1,5
52,Felony,Hispanic,Male,20,-1.0,27,0,0,5
66,Felony,African-American,Male,33,0.0,13,0,1,1
27,Felony,Caucasian,Male,2,0.0,0,0,0,15
51,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0,4
35,Felony,Caucasian,Male,1,0.0,74,0,0,15
52,Misdemeanor,Caucasian,Male,4,-1.0,0,0,0,4
48,Felony,Other,Male,12,0.0,1,0,0,10
26,Misdemeanor,African-American,Female,0,-1.0,1,0,0,8
48,Misdemeanor,Caucasian,Female,0,0.0,0,0,0,6
30,Misdemeanor,Hispanic,Male,7,-1.0,37,0,0,9
28,Misdemeanor,Other,Male,2,-1.0,1,0,0,12
33,Misdemeanor,African-American,Male,2,0.0,0,0,0,3
34,Felony,African-American,Female,6,-1.0,52,0,0,7
25,Misdemeanor,Other,Male,0,0.0,-1,0,0,12
59,Felony,African-American,Male,10,-1.0,127,0,1,19
29,Felony,African-American,Male,5,-1.0,2,0,1,13
24,Felony,Caucasian,Male,0,0.0,1,0,0,15
48,Felony,Caucasian,Male,1,-1.0,129,0,1,2
52,Misdemeanor,African-American,Male,4,0.0,1,0,0,3
20,Felony,African-American,Male,0,0.0,0,0,1,13
25,Felony,Caucasian,Male,4,-5.0,5,0,1,15
24,Felony,Caucasian,Male,0,-1.0,15,0,0,15
23,Misdemeanor,Caucasian,Male,0,-1.0,1,1,0,4
27,Felony,Caucasian,Male,6,-1.0,1,0,1,15
25,Misdemeanor,African-American,Male,1,-1.0,0,0,1,3
31,Felony,African-American,Male,0,-1.0,0,0,0,13
25,Felony,African-American,Male,6,-1.0,4,0,1,13
32,Felony,Caucasian,Male,1,-7.0,0,0,1,15
21,Felony,Caucasian,Male,0,-1.0,-1,0,1,15
37,Felony,Other,Male,1,-1.0,5,0,0,10
25,Felony,Caucasian,Male,0,0.0,0,0,0,15
32,Felony,Hispanic,Male,20,0.0,0,1,0,5
35,Felony,African-American,Male,0,-1.0,2,0,0,13
42,Felony,African-American,Male,14,-1.0,1,0,1,1
24,Misdemeanor,Caucasian,Male,9,-23.0,10,1,1,4
21,Felony,Hispanic,Male,0,-1.0,0,0,1,5
47,Misdemeanor,Caucasian,Male,1,0.0,0,0,0,4
27,Felony,African-American,Male,5,-1.0,1,1,1,13
43,Misdemeanor,Hispanic,Male,2,-12.0,4,0,1,9
46,Felony,Caucasian,Male,2,-1.0,0,0,1,2
44,Misdemeanor,African-American,Male,1,0.0,0,0,0,3
