age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,class,out
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0,0.20735735
20,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,44,United-States,0,0.0012777044
45,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0,0.15449649
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0,0.43321052
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,0,0.0072174477
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,0,0.020809833
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0,0.0008017485
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,0,0.0710464
31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,38,?,1,0.20301163
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.5737648
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,0,0.02628168
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.56480926
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,0,0.59189093
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0,0.007308729
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,0,0.0024343242
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,1,0.77732164
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,0,0.31186238
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,0.32575837
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.22048314
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,0,0.13727309
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,0,0.3527411
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,30,?,0,0.000621376
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,1,0.92772335
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,1,0.5568174
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0,0.4050892
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1,0.61188984
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0,0.034599196
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,0,0.05268836
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,0,0.40477565
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,0.19214255
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,0.60366076
32,?,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,40,?,0,0.017603673
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,0.32559845
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1,0.8657061
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,0,0.22267422
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.2853873
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.009311249
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,1,0.5528362
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1,0.786774
25,?,Some-college,10,Never-married,?,Own-child,White,Male,40,United-States,0,0.0014092133
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,0,0.0038135992
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,0,0.0066119903
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,1,0.6414831
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,0.0072635445
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,0,0.46266067
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,0,0.0018751795
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,0.41314217
67,?,10th,6,Married-civ-spouse,?,Husband,White,Male,2,United-States,0,0.024828993
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,0,0.00036539594
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0,0.01441374
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,0,0.00742354
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,0,0.4350672
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,0,0.23272611
59,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,0.4725398
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,1,0.08119527
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,0,0.019093292
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1,0.5457519
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,0.7922747
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,0.05240375
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1,0.659848
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.62882125
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,0,0.029536488
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,0,0.0007639945
30,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,0,0.024244156
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1,0.71066743
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,0,0.03114888
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1,0.8217917
37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,1,0.47619298
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,0,0.17296033
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,0,0.0012109667
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1,0.9115753
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1,0.891117
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0,0.36318964
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0,0.0011777574
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.030633803
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1,0.41690794
17,?,10th,6,Never-married,?,Own-child,White,Female,32,United-States,0,9.7545315E-05
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,0.0020173907
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.016853712
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,0.24201679
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,0,0.006709997
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.8439471
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,1,0.46388713
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,0,0.092314646
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0,0.0024253814
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,0,0.12474045
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.7133134
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,1,0.63437337
55,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,0,0.68043655
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,0,0.015155804
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,0,0.00086272246
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,0,0.8826828
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,0,0.0066025513
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1,0.5747296
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,0,0.00037367412
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,1,0.8499413
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,0,0.001375037
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1,0.3087941
35,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,0,0.10149657
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.1350207
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,0,0.07833357
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0,0.0050296234
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0,0.2151694
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.76113987
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,0,0.030973438
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,1,0.859672
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0,0.35337985
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,0,0.29622376
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,0,0.0006956172
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,1,0.65678
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.5728847
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.0021568348
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,0,0.00040409976
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,1,0.1625427
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,0,0.1449696
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,0,0.00090159755
22,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,0,0.022869075
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,0,0.0048014997
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.19718885
43,?,Some-college,10,Divorced,?,Not-in-family,White,Female,40,United-States,0,0.02638715
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,0,0.0028448934
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.012438303
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,0,0.014148975
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,0,0.004682689
52,?,HS-grad,9,Divorced,?,Not-in-family,White,Male,45,United-States,1,0.086056
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,0,0.48054516
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,0.009463249
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,0,0.023705646
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,0.13171753
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,0,0.029261976
68,?,1st-4th,2,Divorced,?,Not-in-family,White,Female,20,United-States,0,0.00015150192
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,0,0.0023717473
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,0,0.20889974
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,0,0.018108003
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1,0.6033711
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,0,0.003184139
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,0,0.23515765
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,0,0.1566243
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,0,0.00021328861
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0,0.031378068
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0,0.010940057
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,0.15931956
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1,0.5225315
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,0,0.09325926
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.47502655
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,0,0.0015347135
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,0,0.0019525589
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,0,0.0049720397
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,12,United-States,0,0.00017729252
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,0,0.7753879
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1,0.5663211
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.017886024
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,0,0.06062333
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,1,0.061296448
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,1,0.61488205
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,0,0.21065934
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0,0.06322818
53,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,50,United-States,0,0.14979215
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,0,0.8266507
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,1,0.7813034
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,0,0.003759632
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,0.09794554
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0,0.6342923
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,0,0.70108396
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,0,0.53473324
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,0,0.0034055063
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.11467994
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,1,0.51260304
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,1,0.6122293
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,0.099412225
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,0.114215605
19,?,HS-grad,9,Never-married,?,Own-child,White,Male,40,Italy,0,0.000627146
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1,0.87896276
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,0.05366482
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,0,0.0077922666
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.0012481369
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,1,0.35213247
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,0.18460728
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,1,0.5390337
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,12,United-States,0,0.0002835447
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0,0.117814936
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1,0.3010041
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0,0.030685814
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,0,0.49946997
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1,0.14315481
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,1,0.49417332
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,0,0.056336727
38,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,0,0.5502582
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,0,0.79904807
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.005892476
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,0.11150369
64,?,1st-4th,2,Divorced,?,Not-in-family,White,Male,40,United-States,0,0.0010249644
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,0,0.07449506
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,0,0.14045683
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,0,1.828578E-05
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.0012773107
60,?,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,0,0.00042752933
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0,0.24248002
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,0,0.0002203232
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.027403265
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,0,0.0091865035
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,0,0.0058246353
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,0,0.029412102
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,0,0.03086328
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,1,0.4587794
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,0.16802065
40,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,0,0.010010239
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,1,0.7951133
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,1,0.90224105
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,0.0011352792
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.72025615
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,0,0.1490252
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,0,0.19913983
20,?,Some-college,10,Never-married,?,Own-child,White,Male,20,United-States,0,0.0002642026
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.12803555
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,?,0,0.19606034
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,1,0.4381649
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,0,0.006561961
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,1,0.6957235
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,?,0,0.23777959
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,1,0.83943444
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,0,0.61721015
59,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,0,0.0008909641
19,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,0,0.0048456164
58,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,0,0.06422207
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,1,0.5199371
20,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,40,United-States,0,0.000804532
32,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,0,0.0034144188
45,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,0,0.10331584
50,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.025806902
36,Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,0,0.12157471
45,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,0.54851764
