age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,class,out,cluster
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,1,0.5568174,-1
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0,0.4050892,-1
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1,0.61188984,14
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0,0.034599196,15
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,0,0.05268836,-1
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,0,0.40477565,16
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,0.19214255,13
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,0.60366076,17
32,?,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,40,?,0,0.017603673,-1
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,0.32559845,18
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,1,0.8657061,5
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,0,0.22267422,-1
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.2853873,7
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.009311249,19
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,1,0.5528362,20
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1,0.786774,21
25,?,Some-college,10,Never-married,?,Own-child,White,Male,40,United-States,0,0.001409213,22
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,0,0.003813599,23
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,40,United-States,0,0.00661199,-1
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,1,0.6414831,243
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,0.007263544,24
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,0,0.46266067,-1
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,0,0.00187518,-1
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,0.41314217,25
67,?,10th,6,Married-civ-spouse,?,Husband,White,Male,2,United-States,0,0.024828993,-1
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,22,United-States,0,0.000365396,26
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0,0.01441374,-1
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,0,0.00742354,27
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,0,0.4350672,-1
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,0,0.23272611,28
59,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,0.4725398,29
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,1,0.08119527,-1
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,35,United-States,0,0.019093292,-1
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1,0.5457519,30
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,0.7922747,31
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,0.05240375,-1
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1,0.659848,-1
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,0.62882125,32
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,0,0.029536488,-1
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,0,0.000763995,-1
30,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,0,0.024244156,-1
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1,0.71066743,33
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,0,0.03114888,-1
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1,0.8217917,-1
37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,1,0.47619298,34
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,0,0.17296033,-1
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,0,0.001210967,-1
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1,0.9115753,203
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,1,0.891117,3
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0,0.36318964,-1
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0,0.001177757,35
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.030633803,36
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1,0.41690794,37
17,?,10th,6,Never-married,?,Own-child,White,Female,32,United-States,0,9.75E-05,-1
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,0.002017391,38
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.016853712,-1
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,0.24201679,39
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,40,United-States,0,0.006709997,-1
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.8439471,40
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,1,0.46388713,-1
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,0,0.092314646,137
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0,0.002425381,41
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,0,0.12474045,389
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.7133134,42
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,1,0.63437337,-1
55,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,0,0.68043655,34
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,0,0.015155804,36
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,0,0.000862722,43
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,0,0.8826828,3
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,0,0.006602551,-1
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1,0.5747296,44
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,0,0.000373674,-1
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,1,0.8499413,45
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,0,0.001375037,-1
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,1,0.3087941,25
35,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,0,0.10149657,46
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.1350207,47
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,0,0.07833357,-1
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0,0.005029623,-1
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0,0.2151694,48
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,0.76113987,17
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,0,0.030973438,-1
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,1,0.859672,-1
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0,0.35337985,48
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,0,0.29622376,-1
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,20,United-States,0,0.000695617,49
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,1,0.65678,-1
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.5728847,37
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.002156835,50
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,0,0.0004041,-1
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,1,0.1625427,-1
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,0,0.1449696,-1
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,0,0.000901598,-1
22,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,0,0.022869075,51
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,0,0.0048015,214
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,0.19718885,-1
43,?,Some-college,10,Divorced,?,Not-in-family,White,Female,40,United-States,0,0.02638715,52
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,0,0.002844893,-1
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.012438303,53
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,0,0.014148975,-1
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,0,0.004682689,6
52,?,HS-grad,9,Divorced,?,Not-in-family,White,Male,45,United-States,1,0.086056,-1
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,0,0.48054516,7
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,0.009463249,-1
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,2,United-States,0,0.023705646,-1
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,0.13171753,54
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,0,0.029261976,-1
68,?,1st-4th,2,Divorced,?,Not-in-family,White,Female,20,United-States,0,0.000151502,-1
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,0,0.002371747,55
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,0,0.20889974,-1
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,0,0.018108003,-1
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1,0.6033711,56
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,0,0.003184139,-1
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,0,0.23515765,-1
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,0,0.1566243,-1
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,0,0.000213289,38
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0,0.031378068,-1
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0,0.010940057,-1
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,0.15931956,57
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1,0.5225315,58
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,0,0.09325926,109
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.47502655,44
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,0,0.001534714,-1
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,0,0.001952559,59
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,0,0.00497204,-1
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,12,United-States,0,0.000177293,60
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,0,0.7753879,61
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1,0.5663211,-1
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.017886024,19
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,0,0.06062333,-1
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,1,0.061296448,-1
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,1,0.61488205,62
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,0,0.21065934,-1
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0,0.06322818,-1
53,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,50,United-States,0,0.14979215,-1
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,0,0.8266507,274
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,1,0.7813034,-1
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,0,0.003759632,-1
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,0.09794554,63
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0,0.6342923,-1
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,0,0.70108396,14
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,0,0.53473324,-1
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,0,0.003405506,-1
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.11467994,47
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,1,0.51260304,-1
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,1,0.6122293,-1
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,0.099412225,-1
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,0.114215605,-1
19,?,HS-grad,9,Never-married,?,Own-child,White,Male,40,Italy,0,0.000627146,-1
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1,0.87896276,3
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,0.05366482,-1
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,0,0.007792267,-1
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.001248137,64
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,1,0.35213247,-1
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,0.18460728,54
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,1,0.5390337,-1
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,12,United-States,0,0.000283545,64
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0,0.117814936,-1
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1,0.3010041,7
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0,0.030685814,-1
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,0,0.49946997,-1
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1,0.14315481,-1
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,1,0.49417332,-1
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,0,0.056336727,-1
38,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,0,0.5502582,-1
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,0,0.79904807,61
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.005892476,65
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,0.11150369,66
64,?,1st-4th,2,Divorced,?,Not-in-family,White,Male,40,United-States,0,0.001024964,-1
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,0,0.07449506,-1
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,0,0.14045683,-1
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,0,1.83E-05,-1
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,40,United-States,0,0.001277311,67
60,?,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,0,0.000427529,-1
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0,0.24248002,68
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,0,0.000220323,-1
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,0.027403265,69
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,0,0.009186504,-1
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,0,0.005824635,-1
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,0,0.029412102,70
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,0,0.03086328,-1
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,1,0.4587794,323
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,0.16802065,-1
40,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,0,0.010010239,-1
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,1,0.7951133,-1
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,1,0.90224105,371
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,0.001135279,71
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1,0.72025615,61
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,0,0.1490252,-1
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,0,0.19913983,-1
20,?,Some-college,10,Never-married,?,Own-child,White,Male,20,United-States,0,0.000264203,22
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,0.12803555,-1
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,?,0,0.19606034,-1
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,1,0.4381649,16
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,0,0.006561961,72
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,1,0.6957235,-1
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,?,0,0.23777959,-1
