age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,country,out,class,cluster
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0.2048862,0,6
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0.60579956,0,8
32,?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,40,?,0.011553018,0,-1
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0.4066035,0,9
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,0.85384786,1,2
29,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,0.20118156,0,-1
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.24066556,0,4
28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0.013864287,0,30
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,0.62656736,1,108
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0.7456571,1,10
25,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,0.00044580616,0,11
19,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,0.002603615,0,-1
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,40,United-States,0.006550457,0,-1
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,0.66981614,1,-1
23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0.008913633,0,-1
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,0.38727286,0,-1
27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,Mexico,0.0011667752,0,-1
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0.3858332,0,-1
67,?,10th,Married-civ-spouse,?,Husband,White,Male,2,United-States,0.01262007,0,-1
18,Private,11th,Never-married,Other-service,Own-child,White,Female,22,United-States,0.00023850964,0,12
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0.017776627,0,-1
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,30,United-States,0.0051231603,0,13
52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,0.19250546,0,-1
46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,0.31117818,0,-1
59,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0.5291372,0,14
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,0.093903586,1,-1
53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,35,United-States,0.054520875,0,-1
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0.5833027,1,-1
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0.7407436,0,-1
30,Private,9th,Never-married,Sales,Not-in-family,White,Male,40,United-States,0.05509734,0,-1
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0.73092425,1,-1
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.6774497,0,-1
37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,0.055569705,0,-1
28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,0.0011830673,0,-1
30,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,?,0.093325816,0,-1
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0.73628455,1,-1
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,0.031011725,0,-1
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,0.80174404,1,-1
37,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0.47010964,1,15
48,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,40,England,0.25844252,0,-1
32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,40,United-States,0.00025003986,0,-1
76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0.904359,1,66
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,0.89046973,1,0
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0.18151748,0,-1
20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,40,United-States,0.0008468578,0,-1
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0.014572989,0,16
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.29831696,1,-1
17,?,10th,Never-married,?,Own-child,White,Female,32,United-States,1.5805983E-05,0,-1
30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0.0014227491,0,28
31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0.014508276,0,-1
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0.20403591,0,17
24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,40,United-States,0.015189171,0,-1
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.8460587,1,18
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,0.4114918,1,-1
28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,0.19974579,0,-1
36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0.0016069624,0,-1
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,0.09454296,0,-1
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0.7062246,0,-1
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0.6154319,1,-1
55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,0.67247665,0,19
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,0.0078048334,0,16
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,United-States,0.0008336615,0,20
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,0.8794617,0,21
30,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,0.01063564,0,-1
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0.4655586,1,-1
19,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,35,United-States,0.00012617031,0,-1
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0.8474917,1,123
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,0.0012775986,0,22
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0.275271,1,-1
35,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,United-States,0.07386451,0,74
39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0.1211339,0,-1
28,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,60,United-States,0.079622194,0,-1
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0.0036892164,0,23
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0.15273432,0,24
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0.7515704,0,8
46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,0.059621338,0,-1
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,0.8081119,1,-1
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0.28251675,0,24
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,0.3901536,0,-1
20,Private,Some-college,Never-married,Sales,Own-child,White,Male,20,United-States,0.0004928901,0,25
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,0.6427444,1,-1
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.54707485,0,-1
27,Private,Some-college,Never-married,Sales,Own-child,White,Female,40,United-States,0.0022781054,0,26
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,30,Mexico,0.00046708088,0,-1
45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0.12889698,1,-1
70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,40,United-States,0.083708145,0,-1
31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,0.0015641907,0,-1
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,0.026624417,0,-1
36,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,24,United-States,0.00813279,0,-1
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.16515896,0,44
43,?,Some-college,Divorced,?,Not-in-family,White,Female,40,United-States,0.04774796,0,-1
47,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,0.0039235614,0,-1
34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0.009938071,0,27
33,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,0.020906502,0,-1
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,35,United-States,0.0014527971,0,3
52,?,HS-grad,Divorced,?,Not-in-family,White,Male,45,United-States,0.104893096,1,-1
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,0.4650876,0,4
23,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0.0063666194,0,-1
71,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,2,United-States,0.021315949,0,-1
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0.10787779,0,77
42,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,50,United-States,0.009017526,0,-1
68,?,1st-4th,Divorced,?,Not-in-family,White,Female,20,United-States,0.00031089995,0,-1
25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,United-States,0.0033787023,0,-1
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,0.19178325,0,-1
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,0.050243594,0,-1
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0.59891635,1,-1
36,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,40,Mexico,0.004277833,0,-1
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,0.119905174,0,-1
46,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,0.15725794,0,-1
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,9.33379E-05,0,28
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0.034167074,0,-1
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0.0062025646,0,29
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0.11852023,0,-1
51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0.5479382,1,15
27,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,0.08707749,0,-1
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.37249452,1,-1
27,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,0.002168901,0,-1
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,0.00041894,0,-1
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,0.0009570869,0,-1
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,12,United-States,0.00010053036,0,104
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,0.72040504,0,34
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,0.62443763,1,-1
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0.030431038,0,30
30,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,0.025692243,0,-1
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0.046094723,1,-1
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,0.59302515,1,-1
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,0.15003617,0,-1
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0.11925271,0,-1
53,?,Bachelors,Divorced,?,Not-in-family,White,Female,50,United-States,0.13088822,0,-1
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,0.84600276,0,-1
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,0.7595581,1,-1
38,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,0.0046974514,0,-1
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0.110165544,0,31
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,0.54922384,0,-1
47,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,0.60543174,0,-1
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,0.45294663,0,-1
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,0.005882145,0,-1
36,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0.10173193,0,-1
40,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,0.5304334,1,-1
35,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,0.33844733,1,-1
24,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,United-States,0.07670199,0,-1
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0.10778893,0,93
19,?,HS-grad,Never-married,?,Own-child,White,Male,40,Italy,0.000652379,0,-1
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0.8858008,1,0
42,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0.045078527,0,-1
37,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,0.012967786,0,-1
18,Private,11th,Never-married,Sales,Own-child,White,Female,40,United-States,0.0008538451,0,32
36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,0.23340008,1,-1
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0.15174924,0,77
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,0.70079064,1,-1
17,Private,11th,Never-married,Sales,Own-child,White,Female,12,United-States,0.00020872023,0,32
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0.11532224,0,-1
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0.25470504,1,33
35,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0.01807033,0,-1
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,0.5233892,0,-1
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0.32848874,1,-1
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,0.45883948,1,-1
50,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,40,United-States,0.09503964,0,-1
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,0.5113413,0,-1
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,0.7887014,0,34
25,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0.0059022857,0,-1
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0.098359466,0,35
64,?,1st-4th,Divorced,?,Not-in-family,White,Male,40,United-States,0.0031393853,0,-1
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,0.019957518,0,-1
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,0.08988574,0,-1
53,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,1.6962485E-05,0,-1
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,40,United-States,0.0010448745,0,36
60,?,10th,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,0.0010080208,0,-1
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0.19824457,0,37
75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,0.000370239,0,-1
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0.040939257,0,38
35,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,0.005959196,0,-1
41,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,38,United-States,0.016467782,0,-1
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,0.017447062,0,39
33,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,0.056745566,0,-1
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,0.43681777,1,-1
59,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0.123812005,0,-1
40,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,0.011869982,0,-1
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,0.7749155,1,-1
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,0.92158324,1,-1
23,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0.0011252301,0,40
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0.68011045,1,41
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,0.20214735,0,-1
24,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,0.12954503,0,-1
20,?,Some-college,Never-married,?,Own-child,White,Male,20,United-States,8.66513E-05,0,11
38,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0.11442317,0,-1
56,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,?,0.21485828,0,-1
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0.42062253,1,99
32,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,34,United-States,0.004419555,0,23
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,0.57660407,1,-1
45,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,?,0.24067686,0,-1
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,0.8654118,1,-1
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,0.49861175,0,-1
59,Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,30,United-States,0.0035529244,0,-1
19,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,0.0046126996,0,-1
58,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,0.065938264,0,-1
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,0.66561127,1,-1
20,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,40,United-States,0.0006193875,0,42
32,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,30,United-States,0.0028021073,0,-1
